PluName=???? ??? ???? ???????,LFCode=286,Code=5637,BarCode=101,Rebate=0,UnitPrice=1305,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=61
PluName=???? ?????? ??????? ???????,LFCode=29286,Code=7053,BarCode=101,Rebate=0,UnitPrice=1375,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=62
PluName=???? ????? ?????? ???? ???????,LFCode=5570,Code=5570,BarCode=101,Rebate=0,UnitPrice=1150,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=63
PluName=???? ??? ?????? ????  ???????,LFCode=570,Code=2517,BarCode=101,Rebate=0,UnitPrice=575,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=64
PluName=???? ???? ???????? ?????? ???????,LFCode=10786,Code=6193,BarCode=101,Rebate=0,UnitPrice=1440,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=65
PluName=???? ???? ????????? ????,LFCode=786,Code=8129,BarCode=101,Rebate=0,UnitPrice=4400,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=66
PluName=???? ???? ???? ?????? ?????? ???????,LFCode=10789,Code=6196,BarCode=101,Rebate=0,UnitPrice=1440,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=67
PluName=???? ???? ?????? ????,LFCode=789,Code=7613,BarCode=101,Rebate=0,UnitPrice=2200,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=68
PluName=?? ???? ???? 1 ????,LFCode=2010,Code=5940,BarCode=101,Rebate=0,UnitPrice=2420,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=69
PluName=????? ???? 2 ??? ????,LFCode=1010,Code=4595,BarCode=101,Rebate=0,UnitPrice=660,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=70
PluName=????? ?????? ??? ?????? ????? ???????,LFCode=335,Code=5736,BarCode=101,Rebate=0,UnitPrice=1555,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=71
PluName=???? ??? ???? ???????,LFCode=29335,Code=7118,BarCode=101,Rebate=0,UnitPrice=1380,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=72
PluName=????? ?????? ?????????? ????? ???????,LFCode=334,Code=5739,BarCode=101,Rebate=0,UnitPrice=1725,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=73
PluName=???? ????? ???????,LFCode=29334,Code=7135,BarCode=101,Rebate=0,UnitPrice=1555,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=74
PluName=??? ??? ???? ??????? ???????,LFCode=10779,Code=6146,BarCode=101,Rebate=0,UnitPrice=5750,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=75
